id;name;phone_nbr;email_addr;status;created_by;date_created;validated_by;date_validated;physical_address
1;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capa;mission-critical;ACTIVE;23956;2019-06-30T04:29:43;14489;2019-06-30T08:05:23;Way Dominican Republic
2;Bulgarian Lev navigate;Re-contextualized;web-enabled invoice withdrawal;ACTIVE;15071;2019-06-30T13:08:00;50819;2019-06-30T16:21:20;Refined Rubber Gloves Algerian Dinar Clothing
3;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking;NEW;87733;2019-06-30T04:08:00;25794;2019-06-30T15:20:49;Bacon Designer
4;Equatorial Guinea Vision-oriented;Agent;Human deposit;NEW;84666;2019-06-29T23:18:06;85632;2019-06-29T23:32:32;optical invoice
5;Marketing;Dynamic Home Loan Ac;Branding;DEACTIVATED;69189;2019-06-30T10:04:12;65196;2019-06-29T20:57:55;Fish
6;Networked;Fish;payment calculating;DEACTIVATED;50881;2019-06-30T12:00:25;63633;2019-06-30T14:28:02;Persevering
7;Coordinator Cambridgeshire Investor;cross-platform Borde;Libyan Dinar CSS;SUSPENDED;28077;2019-06-30T07:06:15;2431;2019-06-30T02:23:13;Intelligent Frozen Sausages Villages
8;Human;back up Factors;architectures;DEACTIVATED;30569;2019-06-30T11:35:23;19091;2019-06-30T00:24:18;infrastructure
9;mesh;Configuration UIC-Fr;Ergonomic Concrete Soap Zambian Kwacha;SUSPENDED;87737;2019-06-30T13:05:27;74076;2019-06-30T00:27:51;Metal array France
10;redundant;Synergistic Personal;Borders;ACTIVE;2761;2019-06-30T11:49:05;57886;2019-06-30T18:34:35;North Dakota Garden
